               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 137,            0.019483,             0.00981,           0.0040139,             0.97687,             0.96864,             0.98403,             0.88406,            0.011973,           0.0022569,           0.0034724,           0.0061574,           0.0061574,           0.0061574
                 138,            0.019676,            0.009848,           0.0042457,             0.97705,             0.96791,               0.985,             0.88273,            0.011871,           0.0022606,            0.003481,           0.0061107,           0.0061107,           0.0061107
                 139,            0.019192,           0.0096868,           0.0040016,             0.97555,             0.96703,             0.98529,             0.88156,            0.011902,           0.0022767,           0.0034533,            0.006064,            0.006064,            0.006064
                 140,            0.019013,            0.009718,           0.0037529,              0.9753,             0.96324,              0.9848,             0.88404,            0.011855,           0.0022914,           0.0035125,           0.0060172,           0.0060172,           0.0060172
                 141,            0.019033,           0.0098909,           0.0039288,             0.96619,             0.97277,             0.98497,              0.8848,             0.01215,           0.0022972,           0.0034335,           0.0059704,           0.0059704,           0.0059704
                 142,             0.01916,           0.0098095,           0.0039343,             0.97614,             0.96282,             0.98461,             0.88315,            0.012335,           0.0022997,           0.0034316,           0.0059235,           0.0059235,           0.0059235
                 143,             0.01913,           0.0094836,           0.0039745,             0.97134,             0.96795,             0.98472,             0.88565,            0.012105,           0.0022919,           0.0033785,           0.0058766,           0.0058766,           0.0058766
                 144,            0.018932,           0.0097488,           0.0038278,             0.97581,              0.9686,             0.98497,             0.88402,            0.012009,           0.0022846,           0.0032369,           0.0058296,           0.0058296,           0.0058296
                 145,            0.019108,           0.0097681,           0.0039596,             0.97174,             0.97297,              0.9854,             0.88493,            0.012081,           0.0022886,           0.0032109,           0.0057826,           0.0057826,           0.0057826
                 146,            0.018969,           0.0096781,           0.0037914,             0.97606,             0.96622,             0.98496,             0.88816,            0.012196,           0.0022728,           0.0033278,           0.0057355,           0.0057355,           0.0057355
                 147,            0.018815,           0.0094206,            0.003738,             0.97403,             0.96883,             0.98503,             0.88448,            0.012398,           0.0022778,           0.0033789,           0.0056884,           0.0056884,           0.0056884
                 148,            0.018838,           0.0096282,           0.0039227,             0.97547,             0.96491,             0.98441,             0.88584,            0.012516,           0.0022899,            0.003363,           0.0056413,           0.0056413,           0.0056413
                 149,            0.018603,           0.0094267,           0.0035878,             0.97437,             0.96744,             0.98492,             0.88521,            0.012419,           0.0022981,           0.0032888,           0.0055942,           0.0055942,           0.0055942
                 150,            0.018842,           0.0094662,            0.003804,             0.97411,             0.96646,             0.98493,             0.88413,            0.012393,           0.0023013,           0.0033216,           0.0055471,           0.0055471,           0.0055471
                 151,            0.018919,           0.0095072,           0.0037455,             0.97565,             0.96535,             0.98465,              0.8829,            0.012603,           0.0023171,           0.0032661,              0.0055,              0.0055,              0.0055
                 152,            0.018895,            0.009523,           0.0036468,             0.97608,             0.96607,             0.98431,             0.88424,            0.012533,           0.0023144,           0.0033045,           0.0054529,           0.0054529,           0.0054529
